Accession,Protein
F6PWV8,Collagen-binding protein
F6PY78,"Proteasome 26S subunit, non-ATPase 12"
F6PZY1,Tropomodulin 3
F6Q1Q6,Neurochondrin
F6Q4A3,Ribosomal protein S16
F6Q4M2,Protein kinase C and casein kinase substrate in neurons 3
F6Q4Q1,Heterogeneous nuclear ribonucleoprotein K
F6Q698,Major vault protein
F6Q6A8,Reticulocalbin 3
F6Q6X3,Coronin
F6Q748,Platelet-derived growth factor receptor beta
F6Q947,Collagen type XV alpha 1 chain
F6QCK4,Vacuolar protein sorting 13 homolog C
F6QDR0,DNA damage-binding protein 1
F6QDZ7,Uncharacterized protein
F6QF52,Protein-synthesizing GTPase
F6QF58,60S ribosomal protein L6
F6QFD9,Carboxypeptidase N subunit 2
F6QIV1,Leucine rich repeat containing 59
F6QJY9,Pericentrin
F6QK77,Deoxyribonuclease
F6QKR7,Myocilin
F6QLI1,Exocyst complex component 3
F6QMB8,G protein subunit alpha 13
F6QPJ4,GIT ArfGAP 2
F6QQ01,Patatin like phospholipase domain containing 2
F6QQ32,HtrA serine peptidase 4
F6QRJ1,LRRN4 C-terminal like
F6QSI7,Rho-associated protein kinase 2
F6QTU8,Myosin ID
F6QUY7,Nuclear casein kinase and cyclin dependent kinase substrate 1
F6QVI0,Hydroxysteroid 17-beta dehydrogenase 13
F6QX36,Inter-alpha-trypsin inhibitor heavy chain 1
F6QXN5,Transgelin
F6QXW2,Phosphatidylethanolamine binding protein 1
F6QYC5,Serine and arginine rich splicing factor 4
F6QYS3,Extracellular matrix protein 1
F6R0Q5,LIM domain and actin binding 1
F6R1D6,Eukaryotic translation initiation factor 3 subunit E
F6R2A1,BRICK1 subunit of SCAR/WAVE actin nucleating complex
F6R341,RNA polymerase II associated protein 1
F6R528,Collagen type III alpha 1 chain
F6R5S2,Transient receptor potential cation channel subfamily M member 5
F6R5V4,Carboxypeptidase vitellogenic like
F6R6Z6,Epithelial cell adhesion molecule
F6R7J2,IDP
F6R7Z9,"Sushi, nidogen and EGF like domains 1"
F6R8R0,Serine/threonine-protein phosphatase
F6RA08,Stomatin
F6RC09,Vacuolar protein sorting-associated protein 35
F6REK1,Rac/Cdc42 guanine nucleotide exchange factor 6
F6REX3,Pregnancy zone protein
F6RFT9,Christmas factor
F6RGN2,Fatty acid binding protein 5
F6RHB3,Dynein cytoplasmic 1 heavy chain 1
F6RHD5,Adenine phosphoribosyltransferase
F6RLK0,Tetraspanin
F6RM73,Apolipoprotein A-II
F6RMA4,Ribosomal protein L15
F6RMQ1,GLI pathogenesis related 2
F6RN56,Interferon induced protein with tetratricopeptide repeats 3
F6RPZ5,"RAB2A, member RAS oncogene family"
F6RRL9,Insulin-like growth factor-binding protein 3
F6RRN3,Zinc finger ZZ-type and EF-hand domain containing 1
F6RT71,Eukaryotic translation initiation factor 5
F6RTD6,Heterogeneous nuclear ribonucleoprotein L
F6RTI8,Collagen type I alpha 2 chain
F6RX11,40S ribosomal protein S20
F6RZ46,Proline and arginine rich end leucine rich repeat protein
F6S243,Macrophage migration inhibitory factor
F6S4W5,Sidekick cell adhesion molecule 1
F6S568,Lymphatic vessel endothelial hyaluronan receptor 1
F6S5X4,26S proteasome non-ATPase regulatory subunit 1
F6S6J4,Peroxiredoxin-1
F6S769,Guanine nucleotide-binding protein subunit gamma
F6S836,"Cell adhesion associated, oncogene regulated"
F6S9T1,Thrombospondin 3
F6SAB2,APC-binding protein EB1
F6SAH3,Acyl-CoA synthetase long chain family member 1
F6SBZ3,CD276 molecule
F6SCX8,Eukaryotic translation initiation factor 4 gamma 1
F6SDS3,Spartin
F6SEM5,Mannose receptor C type 2
F6SER6,Hsp90 chaperone protein kinase-targeting subunit
F6SEZ8,Diaphanous related formin 2
F6SF73,Adipogenesis associated Mth938 domain containing
F6SGJ7,Cullin 1
F6SHD8,Integrin subunit alpha 1
F6SHH7,Septin
F6SHJ8,Keratin 2
F6SI35,COP9 signalosome complex subunit 2
F6SI49,Decapping mRNA 1A
F6SIE2,Intercellular adhesion molecule 3
F6SIV4,Spectrin beta chain
F6SK08,THUMP domain containing 1
F6SKT2,Lumican
F6SLB0,"SEC31 homolog A, COPII coat complex component"
F6SMZ4,Elastin microfibril interfacer 1
F6SN52,eIF-5a domain-containing protein
F6SNP9,Beta-ureidopropionase 1
F6SNQ9,Snurportin-1
F6SP74,Complement factor properdin
F6SPH9,Calnexin
F6SQ49,Spermine synthase
F6SR87,"Protein Z, vitamin K dependent plasma glycoprotein"
F6SRP7,Adenylyl cyclase-associated protein
F6SS14,Keratin 10B
F6SSK7,"RAP1B, member of RAS oncogene family"
F6SVX5,Beta-microseminoprotein
F6SXQ9,Cell division control protein 42 homolog
F6SYI2,Crystallin alpha B
F6SYM2,DEK proto-oncogene
F6SZG4,Hypoxanthine phosphoribosyltransferase
F6SZJ2,EH domain containing 4
F6SZQ4,MX dynamin like GTPase 2
F6T155,Exocyst complex component Sec8
F6T2L8,40S ribosomal protein S18
F6T3E4,Coagulation factor XI
F6T530,SH3 domain binding protein 1
F6T5S3,Lymphocyte antigen 75
F6T9B3,Adhesion G protein-coupled receptor E5
F6T9J3,VPS35 endosomal protein-sorting factor-like
F6TAZ0,Glutamine synthetase
F6TBR8,Fermitin family member 2
F6TCI4,Proteasome subunit alpha type
F6TDF0,Angiopoietin like 8
F6TDH5,Coagulation factor X
F6TEW7,ADAMTS like 2
F6TGW9,NADH-cytochrome b5 reductase
F6TH29,CD93 molecule
F6TH64,Spectrin beta chain
F6THG1,"RAB35, member RAS oncogene family"
F6TIB2,Cathepsin C
F6TLU0,Voltage-dependent anion-selective channel protein 2
F6TM03,NCK associated protein 1 like
F6TME6,Nuclear factor NF-kappa-B p105 subunit
F6TQ05,Epsin 1
F6TQR2,Calreticulin
F6TQZ8,ADP/ATP translocase
F6TRI4,"HRas proto-oncogene, GTPase"
F6TST3,V-type proton ATPase subunit
F6TTZ9,AP-3 complex subunit delta
F6TWF2,Trafficking protein particle complex subunit 11
F6TXV7,Solute carrier family 39 member 14
F6TXZ9,40S ribosomal protein S25
F6TY28,Utrophin
F6TYW4,Malate dehydrogenase
F6TZ46,Small nuclear ribonucleoprotein Sm D3
F6TZS9,Triosephosphate isomerase
F6U0G2,Phospholipid scramblase
F6U0H9,Citrate hydro-lyase
F6U187,ATP synthase subunit beta
F6U2W9,EH domain containing 1
F6U354,Fumarylacetoacetase
F6U3F1,Dihydrolipoyl dehydrogenase
F6U401,Ubiquitin conjugating enzyme E2 Z
F6U5V3,Transcobalamin 2
F6U6H7,Glycogenin 1
F6U6K1,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial"
F6U6V3,Disintegrin and metalloproteinase domain-containing protein 10
F6U8N0,HECT domain E3 ubiquitin protein ligase 3
F6U8Y7,Kinesin light chain
F6U8Z5,Calcium binding protein 39
F6UA29,EFR3 homolog A
F6UCB3,60S ribosomal protein L7a
F6UEG9,Apolipoprotein M
F6UF75,Protein S100
F6UH83,CCT-epsilon
F6UJN2,Programmed cell death 6
F6UL68,Transthyretin
F6UN76,Trafficking from ER to golgi regulator
F6UP14,Procollagen C-endopeptidase enhancer 2
F6UP52,Myosin heavy chain 8
F6UQI3,26S proteasome non-ATPase regulatory subunit 2
F6URZ2,Fermitin family member 3
F6USX7,Exocyst complex component 5
F6UU57,Histone H3
F6UUX5,Ribosomal protein L3
F6UW37,Trifunctional purine biosynthetic protein adenosine-3
F6UYH7,Outer dynein arm docking complex subunit 2
F6V278,Ubiquitin carboxyl-terminal hydrolase
F6V2L8,Myotilin
F6V3D5,T-complex protein 1 subunit gamma
F6V541,"FERM, ARH/RhoGEF and pleckstrin domain protein 1"
F6V6L8,IQ motif containing GTPase activating protein 2
F6V6T6,Acetyl-CoA carboxylase kinase
F6V881,Vitronectin
F6V9Q3,40S ribosomal protein S6
F6VAS5,Vanin 1
F6VB94,Transforming growth factor-beta-induced protein ig-h3
F6VBP9,Apolipoprotein E
F6VCE9,Delta-aminolevulinic acid dehydratase
F6VE52,Keratin 3
F6VFB4,Reticulon
F6VIG2,Myosin binding protein C2
F6VIG9,Adenosylhomocysteinase
F6VIV2,Histidine triad nucleotide binding protein 1
F6VJR6,Alpha-1B-glycoprotein
F6VK33,Vav guanine nucleotide exchange factor 1
F6VK89,Monocyte differentiation antigen CD14
F6VKK6,EGF like repeats and discoidin domains 3
F6VNV4,Parvalbumin
F6VPI8,D-dopachrome tautomerase
F6VQZ8,Dynein cytoplasmic 1 intermediate chain 2
F6VRC2,Serine/threonine-protein phosphatase
F6VSN9,Protein disulfide-isomerase
F6VTD3,Proteoglycan 4
F6VTF8,MOB kinase activator 2
F6VTT9,Growth arrest specific 7
F6VUI6,116 kDa U5 small nuclear ribonucleoprotein component
F6VUW2,Cathepsin S
F6VV33,Microtubule associated protein 1A
F6VVG6,Eukaryotic translation initiation factor 3 subunit D
F6VVM5,Collagen type IV alpha 1 chain
F6VX41,60S ribosomal protein L4
F6VZ73,Hyaluronan binding protein 2
F6VZN7,Ras homolog family member G
F6VZY5,Vasodilator stimulated phosphoprotein
F6W039,Rho GDP dissociation inhibitor alpha
F6W0E0,Non-specific serine/threonine protein kinase
F6W2K5,Polymeric immunoglobulin receptor
F6W354,Actin-like protein 3
F6W4R2,Angiotensin 1-10
F6W5X0,Ras like without CAAX 1
F6W6E8,Latent transforming growth factor beta binding protein 1
F6W739,Prefoldin subunit 2
F6WA57,Lymphocyte cytosolic protein 1
F6WD07,Fibulin 7
F6WE31,Actin-related protein 2/3 complex subunit 3
F6WEM4,Amyloid beta precursor protein binding family B member 1 interacting protein
F6WFQ1,Epidermal growth factor receptor pathway substrate 15
F6WG72,Penta-EF-hand domain containing 1
F6WGL8,Protein disulfide-isomerase
F6WGX6,Keratin 77
F6WIB0,Vitamin K epoxide reductase complex subunit 1
F6WJ57,GRIP and coiled-coil domain containing 2
F6WJB5,"Proteasome 26S subunit, ATPase 1"
F6WLI6,"ATP synthase subunit O, mitochondrial"
F6WM79,Actin related protein 2
F6WNV3,Frizzled-related protein 1
F6WPB4,Maillard deglycase
F6WQJ4,Tetraspanin
F6WQL1,Ecotropic viral integration site 2B
F6WRB4,Sarcalumenin
F6WRP1,Tubulin tyrosine ligase like 12
F6WRS9,Integrin subunit alpha X
F6WSA6,Glutathione synthetase
F6WT76,Aspartyl aminopeptidase
F6WTJ7,Phosphoacetylglucosamine mutase
F6WWW7,F-actin-capping protein subunit alpha
F6WZ69,Procollagen C-endopeptidase enhancer
F6WZA8,Carboxypeptidase N subunit 1
F6X0K3,Cellular communication network factor 2
F6X0L0,RALBP1 associated Eps domain containing 1
F6X0P8,Kinesin-like protein
F6X1I8,Hemopexin
F6X200,Cadherin 6
F6X277,RuvB-like helicase
F6X2E1,Peptidyl-prolyl cis-trans isomerase
F6X485,Myosin heavy chain 9
F6X509,Opioid growth factor receptor
F6X6A6,Peptidyl-prolyl cis-trans isomerase
F6X756,Elongation factor 1-beta
F6X7U7,40S ribosomal protein S4
F6X8V3,"Phosphatidylinositol-4,5-bisphosphate 3-kinase"
F6X917,"VPS26, retromer complex component A"
F6XA04,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
F6XAB0,Synaptosomal-associated protein
F6XC16,Vesicle amine transport 1
F6XCF2,Tubulin beta chain
F6XCP3,Protein-tyrosine-phosphatase
F6XD01,Dedicator of cytokinesis 10
F6XE64,Eukaryotic translation initiation factor 3 subunit A
F6XEP5,Ecto-5'-nucleotidase
F6XH19,Nidogen 1
F6XHR9,Immunoglobulin superfamily containing leucine rich repeat
F6XLG7,Poly(rC) binding protein 4
F6XLM5,Ribosomal protein S14
F6XM13,Apolipoprotein D
F6XMS1,Citrate synthase
F6XNR9,Collagen type XVIII alpha 1 chain
F6XQN7,"RAP1A, member of RAS oncogene family"
F6XSF7,C4a anaphylatoxin
F6XSN2,T-complex protein 1 subunit eta
F6XUJ2,ATP synthase subunit alpha
F6XUQ9,Rho-associated protein kinase
F6XWM5,Haptoglobin
F6XZ61,Fc fragment of IgG receptor and transporter
F6Y044,Diaphanous related formin 1
F6Y0C1,Complement C8 gamma chain
F6Y0G5,Periostin
F6Y0Q6,Aldehyde dehydrogenase 1 family member A3
F6Y239,"Rabenosyn, RAB effector"
F6Y2H3,Peptidase D
F6Y4J0,Vacuolar proton pump subunit B
F6Y6W2,Ribosomal protein L24
F6Y6W9,Oxysterol binding protein
F6Y8A0,Tyrosine-protein kinase
F6Y9U1,Secretory carrier-associated membrane protein
F6YAH4,Ankyrin repeat and FYVE domain containing 1
F6YBQ6,60S ribosomal protein L30
F6YCN2,Fibulin 2
F6YDK2,G1 to S phase transition 1
F6YEU3,RNA binding motif protein 3
F6YEV8,BAF nuclear assembly factor 1
F6YF28,UDP glycosyltransferase 8
F6YFQ3,AP complex subunit beta
F6YG82,78 kDa glucose-regulated protein
F6YGR4,LRR binding FLII interacting protein 1
F6YHJ7,Non-specific serine/threonine protein kinase
F6YJR6,Ribosomal protein L18
F6YK14,Eukaryotic translation initiation factor 4B
F6YKL4,Myotrophin
F6YKS7,Calcium-transporting ATPase
F6YLI2,Secretogranin III
F6YNM7,Prolyl endopeptidase
F6YNR0,Nuclear mitotic apparatus protein 1
F6YP35,Ectonucleoside triphosphate diphosphohydrolase 1
F6YPD8,WD repeat domain phosphoinositide-interacting protein 2
F6YPI2,Bone sialoprotein 2
F6YPN7,"Arginine--tRNA ligase, cytoplasmic"
F6YRE7,Leukotriene A(4) hydrolase
F6YV16,RNA helicase
F6YV40,Glyceraldehyde-3-phosphate dehydrogenase
F6YW65,Poly [ADP-ribose] polymerase
F6YWC0,Apolipoprotein R
F6YXS1,Receptor protein-tyrosine kinase
F6YYB1,Proteasome 20S subunit beta 1
F6YZ13,S100 calcium binding protein A13
F6YZF5,DNA cross-link repair 1C
F6Z041,Apolipoprotein H
F6Z146,Integrin subunit alpha L
F6Z1Z7,40S ribosomal protein S3a
F6Z295,Vacuolar-sorting protein SNF8
F6Z2L5,Apolipoprotein E
F6Z3U5,FYN binding protein 1
F6Z3X5,Apolipoprotein B receptor
F6Z4J4,Rab GDP dissociation inhibitor
F6Z4N9,Eukaryotic translation initiation factor 3 subunit C
F6Z587,60 kDa chaperonin
F6Z5C4,Calmodulin 1
F6Z5L1,Complement C1r
F6Z5U0,Component of oligomeric Golgi complex 7
F6Z8V2,Proteasome subunit beta
F6ZAK1,Annexin
F6ZC75,Thy-1 antigen
F6ZD04,"Alpha-1,4 glucan phosphorylase"
F6ZDJ2,Laminin subunit alpha 4
F6ZDM5,Ribosomal protein S10
F6ZE54,Glucose-6-phosphate isomerase
F6ZED2,Ras-related protein Rab-21
F6ZET7,RHO family interacting cell polarization regulator 1
F6ZFH9,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
F6ZGZ1,Syntaxin 4
F6ZHC3,CD48 molecule
F6ZHK3,55 kDa erythrocyte membrane protein
F6ZHQ5,Chloride intracellular channel protein
F6ZI35,Histidine rich glycoprotein
F6ZIY3,Switching B cell complex subunit SWAP70
F6ZJJ9,Ig-like domain-containing protein
F6ZK25,"Spectrin alpha, erythrocytic 1"
F6ZKC8,Cytochrome c oxidase subunit 4
F6ZLR1,Serpin family A member 3
F6ZLX2,Myosin IXB
F6ZNX3,Collagen type XIV alpha 1 chain
F6ZNZ4,Microtubule associated protein 1B
F6ZP76,Actin-related protein 2/3 complex subunit 5
F6ZQ56,Prostaglandin E synthase 3
F6ZQ77,Complement factor H
F6ZQE2,CCT-theta
F6ZRH8,Uncharacterized protein
F6ZRQ3,Osteomodulin
F6ZSS7,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
F6ZSZ5,Metavinculin
F6ZV00,Perilipin
F6ZVN7,Dynactin subunit 3
F6ZW92,Phosphatidylinositol transfer protein alpha
F6ZX61,60S ribosomal protein L13
F6ZY40,Lamin A/C
F6ZYT5,Transmembrane anterior posterior transformation 1
F6ZZV6,Cytochrome P450 2C19
F6ZZX8,Integrin subunit alpha 4
F7A0H6,Folate receptor beta
F7A1W7,Apolipoprotein C-II
F7A3Y3,Phospholipid-transporting ATPase
F7A425,Phosphofurin acidic cluster sorting protein 1
F7A483,Ribosomal protein L22 like 1
F7A575,Erbb2 interacting protein
F7A5F1,ASH1 like histone lysine methyltransferase
F7A5X2,ECRG4 augurin precursor
F7A622,Transient receptor potential cation channel subfamily V member 2
F7A692,Complement C5
F7ABW7,Coagulation factor VII
F7AC72,CD163 molecule
F7AE68,Inter-alpha-trypsin inhibitor heavy chain 3
F7AEI2,Placenta associated 9
F7AGA5,Plastin 3
F7AGR6,Tropomodulin 2
F7AK17,TNF alpha induced protein 2
F7AL87,General vesicular transport factor p115
F7ALQ9,Coronin
F7ALR7,Ectonucleotide pyrophosphatase/phosphodiesterase 1
F7AM06,Adducin 1
F7AMC4,Myosin IG
F7AMM0,ATP-dependent 6-phosphofructokinase
F7ANR3,Proteasome subunit alpha type
F7APU2,Complement factor I
F7ARB6,Tetratricopeptide repeat protein 38
F7ARV4,"SH3 domain containing GRB2 like, endophilin B2"
F7AS57,Proteasome activator subunit 2
F7ASK6,Integrin subunit alpha M
F7AT17,Tyrosine-protein kinase
F7ATK9,Histamine N-methyltransferase
F7ATM2,Solute carrier family 1 member 4
F7ATU8,Eukaryotic translation initiation factor 3 subunit B
F7AU83,COP9 signalosome complex subunit 5-like protein
F7AVB5,Serine and arginine rich splicing factor 3
F7AVH3,NIMA related kinase 9
F7AVQ9,"Phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"
F7AWQ9,Interleukin 1 receptor accessory protein
F7AWX3,Receptor for activated C kinase 1
F7AX81,CCT-alpha
F7AXI9,Peroxiredoxin-6
F7AYA6,Protein phosphatase 1 regulatory subunit 7
F7AYC1,Secreted phosphoprotein 1
F7AYR2,Ribosomal protein L10
F7AYY8,Uncharacterized protein
F7AZ87,Tight junction protein 2
F7B024,Calcium-transporting ATPase
F7B0V7,GlcNAc 2-epimerase
F7B0X3,Coiled-coil domain containing 6
F7B3L3,60S ribosomal protein L27a
F7B497,Coatomer subunit alpha
F7B4U0,Disco interacting protein 2 homolog B
F7B504,Apolipoprotein F
F7B806,Cytochrome b-c1 complex subunit 10
F7B821,Protein disulfide-isomerase
F7B9Q9,Protein kinase C and casein kinase substrate in neurons 2
F7B9X5,"RELA proto-oncogene, NF-kB subunit"
F7BB06,Extended synaptotagmin 1
F7BC94,Hypoxia up-regulated 1
F7BDE9,Na(+)/H(+) exchange regulatory cofactor NHE-RF
F7BE95,Ubiquitin conjugating enzyme E2 V1
F7BEH7,WASH complex subunit 2
F7BFJ1,Prothrombin
F7BFT1,Peroxiredoxin 2
F7BH02,Filamin A
F7BH15,Sodium/hydrogen exchanger
F7BH96,Cullin associated and neddylation dissociated 1
F7BHK6,RNA binding motif protein 25
F7BHT1,"Axin interactor, dorsalization associated"
F7BJ71,Leucine rich repeat containing 8 VRAC subunit A
F7BK38,Laminin subunit beta 2
F7BK76,Macrophage stimulating 1
F7BKE1,Serpin family F member 1
F7BKI9,Toll interacting protein
F7BKK5,Glutathione S-transferase
F7BKY7,Calpactin I light chain
F7BLG9,Programmed cell death 5
F7BLU1,40S ribosomal protein S15a
F7BM31,Serpin family D member 1
F7BMG0,"Raftlin, lipid raft linker 1"
F7BND9,Protein S100
F7BPT4,Ezrin
F7BQD6,Complement C1s
F7BQS3,Growth factor receptor bound protein 2
F7BQX4,Peptidylglycine alpha-amidating monooxygenase
F7BRA4,Proteasome subunit alpha type
F7BTK9,Niban apoptosis regulator 1
F7BTP3,Seryl-tRNA synthetase
F7BTW7,Complement C3 alpha chain
F7BU40,Protein argonaute-2
F7BUV8,Adiponectin A
F7BXA6,Aminopeptidase
F7BXF9,Nudix hydrolase 5
F7BYR9,Calsequestrin
F7BZD8,Thioredoxin related transmembrane protein 4
F7C0D2,Lipopolysaccharide-binding protein
F7C0U4,Aldo-keto reductase family 7 member A2
F7C108,Lysyl oxidase homolog
F7C1X7,Na(+)/H(+) exchange regulatory cofactor NHE-RF
F7C2J3,Cartilage intermediate layer protein
F7C2Y5,AE binding protein 1
F7C373,75 kDa glucose-regulated protein
F7C4H8,Glucosidase II alpha subunit
F7C555,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase
F7C5F1,Chemerin
F7C5G3,"Proteasome 26S subunit, non-ATPase 11"
F7C5S4,Importin 5
F7C625,Calpain inhibitor
F7C6F2,Ubiquitin-activating enzyme E1
F7C6S0,Matrix metallopeptidase 19
F7C708,Guanine deaminase
F7C7J6,Coagulation factor XIII B chain
F7C9D8,"Proteasome 26S subunit, non-ATPase 7"
F7CAC5,Ig-like domain-containing protein
F7CAX0,C-type lectin domain family 3 member A
F7CBX0,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
F7CCP9,Cartilage intermediate layer protein 2
F7CCX4,Proteolipid protein 2
F7CD93,Coiled-coil domain containing 110
F7CDJ8,40S ribosomal protein S9
F7CE06,Ubiquitinyl hydrolase 1
F7CFR5,Sodium/potassium-transporting ATPase subunit beta
F7CG77,Chaperonin containing TCP1 subunit 6A
F7CGI0,60S ribosomal protein L34
F7CGV8,Collagen type VI alpha 2 chain
F7CHI7,Lactoylglutathione lyase
F7CI32,Selenium binding protein 1
F7CI62,Mannose-binding protein C
F7CIZ6,Septin
F7CJ08,CD209 antigen-like protein E
F7CK08,Small nuclear ribonucleoprotein Sm D2
F7CKI7,Fibrillin 1
F7CL92,Glutamine--fructose-6-phosphate transaminase (isomerizing)
F7CLB0,Transmembrane protein 205
F7CMB4,Diadenosine tetraphosphate synthetase
F7CMU1,Tubulin polymerization-promoting protein family member 3
F7CMY7,Non-specific serine/threonine protein kinase
F7CQM8,Protein kinase C delta type
F7CSQ5,SERPINE1 mRNA binding protein 1
F7CTC3,LIM domain containing preferred translocation partner in lipoma
F7CTR2,Nicotinate phosphoribosyltransferase
F7CU94,Lysozyme
F7CVC4,AP-2 complex subunit alpha
F7CVF5,Coronin
F7CYG2,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
F7CYR1,Antithrombin-III
F7CZV6,Aldehyde dehydrogenase (NAD(+))
F7CZW9,Serpin family G member 1
F7D253,UDP-glucose 6-dehydrogenase
F7D2D9,Biliverdin reductase B
F7D3E3,UMP-CMP kinase
F7D3G2,Mesenteric estrogen dependent adipogenesis
F7D3K4,Platelet-activating factor acetylhydrolase IB subunit alpha
F7D4R2,Sialic acid binding Ig like lectin 1
F7D5C0,Elongin-C
F7D6J0,Myeloid associated differentiation marker
F7D6U2,ISG15 ubiquitin like modifier
F7D7Z9,AIR carboxylase
F7D8K7,60S ribosomal protein L27
F7D8L9,Argininosuccinate synthase
F7D8W6,Guanylate binding protein 5
F7D917,"6-phosphogluconate dehydrogenase, decarboxylating"
F7D9T7,Leucine rich repeat containing 57
F7DA17,Transglutaminase 2
F7DAF6,Inter-alpha-trypsin inhibitor heavy chain 2
F7DB59,Platelet activating factor acetylhydrolase 1b catalytic subunit 3
F7DBH3,Src kinase associated phosphoprotein 2
F7DDD6,Ubiquitin conjugating enzyme E2 O
F7DE06,Annexin
F7DE75,NSF attachment protein alpha
F7DF45,Cysteinyl leukotriene receptor 1
F7DG10,ATPase H+ transporting accessory protein 1
F7DGP4,Rho GTPase activating protein 45
F7DGR1,Coagulation factor XII
F7DGY6,Receptor expression-enhancing protein
F7DHF7,RNA polymerase II associated protein 3
F7DL64,Heterogeneous nuclear ribonucleoprotein A/B
F7DLC6,BRISC and BRCA1-A complex member 2
F7DMA1,Carboxypeptidase M
F7DMG5,Glucose-6-phosphate 1-dehydrogenase
F7DP73,Fibrinogen like 2
F7DPF3,SHC binding and spindle associated 1
F7DRI4,AMP deaminase
F7DRP9,Nascent polypeptide associated complex subunit alpha
F7DRS2,Serpin family A member 6
F7DS56,40S ribosomal protein S13
F7DTB6,Karyopherin subunit beta 1
F7DTV1,Paraoxonase
F7DU34,40S ribosomal protein S11
F7DU87,BPI fold containing family A member 2
F7DVX3,RuvB-like helicase
F7DVZ8,Coiled-coil and C2 domain containing 1A
F7DW15,40S ribosomal protein S8
F7DW69,Heat shock 70kDa protein 1A
F7DWN5,G protein subunit alpha i2
F7DXG8,"Cofilin, non-muscle isoform"
F7DY41,Exocyst complex component
F7DY67,Purine nucleoside phosphorylase
F7DYV8,F-actin monooxygenase
F7DZ01,Coagulation factor V
F7DZE7,Adiponectin D
F7DZV9,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
F7E0P3,Thrombospondin 4
F7E1E4,ABC-type glutathione-S-conjugate transporter
F7E1X2,Stress induced phosphoprotein 1
F7E2S8,NSFL1 cofactor p47
F7E3Y7,Heat shock 27 kDa protein
F7E419,Annexin
H9GZT5,Uncharacterized protein
H9GZT7,Extended synaptotagmin 2
H9GZV0,Uncharacterized protein
H9GZV1,Uncharacterized protein
H9GZZ1,"Troponin I2, fast skeletal type"
H9H007,10-formyltetrahydrofolate dehydrogenase
H9H036,60S ribosomal protein L28
H9H039,ESCRT-II complex subunit VPS25
H9H043,Tetraspanin
K9K4D8,Ras homolog family member A
O46403,Biglycan
O46542,Decorin
O62841,Myeloid cathelicidin 2
O77811,Lactotransferrin (Fragment)
O97508,Thioredoxin
P00443,Superoxide dismutase [Cu-Zn]
P01958,Hemoglobin subunit alpha
P02062,Hemoglobin subunit beta
P02791,Ferritin light chain
P05619,Leukocyte elastase inhibitor
P07450,Carbonic anhydrase 3
P08906,"Aspartate aminotransferase, cytoplasmic"
P0DN28,Apolipoprotein C-III
P12762,"Aldehyde dehydrogenase, mitochondrial"
P14452,Fibrinogen alpha chain (Fragment)
P18907,Sodium/potassium-transporting ATPase subunit alpha-1
P27425,Serotransferrin
P30441,Beta-2-microglobulin
P38029,Alpha-1-antiproteinase 2
P48770,Complement component C9
P49066,Alpha-fetoprotein
P55832,40S ribosomal protein S4 (Fragment)
P62327,Thymosin beta-4
P80010,Plasminogen (Fragment)
Q08IE6,High mobility group protein B1
Q257U4,Calcium-transporting ATPase
Q28369,Retinol-binding protein 4
Q28372,Gelsolin
Q28377,Fibronectin
Q28381,Hyaluronan and proteoglycan link protein 1
Q28397,Stromelysin-1
Q29482,Clusterin
Q2QLA8,F-actin-capping protein subunit alpha-2
Q2QLB0,Caveolin-1
Q2QLB2,Testin
Q2V905,Transferrin receptor protein 1
Q2Z1P9,Anion exchange protein
Q6W8P9,Aldo-keto reductase family 1 member C23-like protein
Q6WEB5,Myelin protein P0
Q6X9Z5,60S acidic ribosomal protein P2
Q8HZM6,Annexin A1
Q8MIP0,Ferritin heavy chain
Q8MJV0,Myosin-1
Q8MJV1,Myosin-2
Q8MKD1,Polyubiquitin-B
Q9GKX7,Heat shock protein HSP 90-alpha
Q9GKX8,Heat shock protein HSP 90-beta
Q9XSZ5,Interstitial collagenase
